feature-1,feature-2,feature-3,feature-4,feature-5,feature-6,feature-7,feature-8,feature-9,feature-10,label
20.306200618002226,7.246964445855994,30.746073715845654,70.73822188683602,82.08954874943558,44.53781491347743,56.9086667906992,17.26152940933881,27.450977679557347,42.42569050954819,7
26.752615999449038,16.39675970351926,30.277686292184384,39.27134185343505,80.59701392841016,31.302521837438007,76.58079905693918,50.30584925918591,63.137249920641665,29.514479947089374,3
23.448827137263144,14.291499313933079,31.549011489932024,57.42432011629237,86.56716991164157,37.39495632512398,78.45433339534961,44.75823138757642,59.215678087391254,34.57862098512656,4
21.99838563482642,10.850201648344822,32.92071214079205,65.81969506773645,86.56716991164157,39.07562982695487,74.00468391339221,50.59121026249424,58.43137629733894,38.060053904686804,3
26.18855432717431,10.364372724336718,31.381731611089993,63.53735979244902,98.5074651789746,36.55462210382708,66.04215522052986,52.7875417018128,75.29411631541906,40.018760471313364,6
22.643028478563636,14.53441377593713,32.251592625423925,56.92835489877562,86.56716991164157,37.39495632512398,79.8594825982338,53.467898056001395,66.274507387242,33.831782252289266,4
21.676067476939153,9.311739951217032,33.22181027835233,65.12115803571638,86.56716991164157,38.23529560565797,82.43559774178078,63.999616849234734,72.15685884881873,33.45584284659343,2
26.18855432717431,10.364372724336718,31.381731611089993,63.53735979244902,98.5074651789746,32.3529408788684,63.700235746593236,49.85056400847631,79.99998993872178,36.634903257865986,6
21.3537427910892,12.955467194584196,32.45232471713078,52.153517549187605,86.56716991164157,35.71428788253018,77.04917798877095,53.975776623583386,65.88234391561807,33.432354684981135,2
22.804190821488614,16.437244587744402,29.307459231997026,57.52655539660776,86.56716991164157,32.5630256990019,72.36533904089768,50.372421105229314,58.8235271923651,32.45522891242405,3
26.02739198424933,9.9595135687789,31.247913352371746,61.25185286860232,98.5074651789746,36.34453728369358,67.44730442341407,52.13999772699046,79.60783904369563,39.007411545547875,6
22.804190821488614,14.372469082383365,32.853798307803444,55.44172154113692,62.686562677845735,34.663863781862695,74.47306904891843,59.643974294851546,67.05882175389208,33.52572227438832,2
24.33521349538783,16.680159049748454,29.70893282266969,58.58274618940746,86.56716991164157,38.44538042579146,77.98594825982339,49.646904271291845,59.99999245404134,35.60083908988312,3
21.434323962551687,13.036436963034483,32.41887250426596,54.72989328622463,86.56716991164157,35.084033422129686,74.94145418444465,61.57099726135918,70.98039358714249,33.74449603562128,2
24.17405115246285,11.862349537239366,33.35563794432954,62.835343493781984,61.19402785682033,36.13445246356008,76.58079905693918,64.9618455686624,59.60784155901518,34.017556649355775,3
23.368245965800654,11.25506080390264,34.52659709622375,62.23270905247902,86.56716991164157,39.49579946722186,78.68852286126548,50.73435231935689,62.74509902561551,36.20448376981988,1
21.434323962551687,11.781374612135886,31.11408568639454,55.74999729508234,86.56716991164157,38.025210785524465,78.22014392943372,16.013699917663352,32.156863879457845,34.964200413275705,2
20.54794413238969,12.591092923251521,32.218131005300144,65.51995836760447,85.07463509061617,36.97479174409407,74.47306904891843,63.84506179085339,69.41176485384233,35.965592634335806,2
24.25463232392534,14.170039504604457,31.415193231213777,62.9154196642635,86.56716991164157,40.96638814891925,76.58079905693918,53.23234904986763,58.03921282571502,38.64570673870848,1
23.69057065165061,11.862349537239366,32.75343226195002,66.36472006647946,86.56716991164157,41.80672237021615,74.00468391339221,53.80307105648429,62.74509902561551,40.759582241361045,1
21.3537427910892,11.943319305689652,32.05085112645811,68.95122598536969,86.56716991164157,44.53781491347743,74.94145418444465,52.74796783835354,71.76470795379257,42.91422387459984,7
20.950843461739446,10.323887840111576,31.214451732247962,64.77237216187841,85.07463509061617,42.857141411646545,73.77049444747634,47.00343972520562,61.96078465896543,41.86935493757549,2
21.756648648401644,11.619435075235314,2.8437579403145143,39.99139093655282,88.05970473266697,36.13445246356008,74.94145418444465,58.89704609461954,61.96078465896543,34.821586049921365,3
21.99838563482642,9.878543800328615,33.42255177731814,59.51770363309691,86.56716991164157,43.697480692180534,74.47306904891843,37.96465422201933,49.01960389753795,42.390361652205385,3
24.89927516766256,15.303642046174428,30.47841838389124,53.514504829285755,86.56716991164157,34.243699200832786,74.70725851483431,54.69407641244286,67.05882175389208,33.0655346546462,4
22.965346636450903,12.99595207880934,34.66042476220096,77.8317995212614,85.07463509061617,43.48739587204703,73.77049444747634,57.53422341957503,80.78430430537188,42.5650682729363,7
21.99838563482642,12.874492269480717,33.15490585262268,63.12146013789352,83.58208357046098,44.53781491347743,76.58079905693918,35.23739043158889,49.01960389753795,41.877889255894395,5
23.04592780791339,14.817813122166324,30.879891974563904,64.07131054003523,86.56716991164157,38.44538042579146,76.11241392141297,39.03464709129106,47.058824269211634,36.42746028026272,3
20.628525303852182,11.336030572352925,35.69755624811796,80.23218588957954,86.56716991164157,40.33613368851876,66.51054035605608,72.90270512112888,90.19607670517286,43.69890882030923,7
23.771151823113097,10.60728718634077,34.091671292686264,60.90274876915639,85.07463509061617,36.34453728369358,74.47306904891843,43.22806198122993,55.68626972576477,35.18691928392024,3
23.04592780791339,13.400811234367158,32.58615238310799,48.551978016126405,85.07463509061617,31.93277123860141,75.17564365036053,43.16265301454295,76.4705815770953,30.65459509705023,5
28.36421984481074,12.024289074139938,31.917032867739866,36.691805075359014,92.53730919574319,23.73949360881756,64.6369998139512,58.606554036006585,95.68626469512566,26.494721443607318,6
0.0,11.943319305689652,31.28136556523657,63.014165070411664,0.0,39.49579946722186,67.44730442341407,38.97366186153728,65.09804212556575,42.29433715237816,6
22.56244730710115,10.850201648344822,33.1214442324989,60.75367067935015,86.56716991164157,39.07562982695487,76.34660338732884,48.081356957926786,57.25489845906493,36.933008606994214,3
23.368245965800654,13.56275077126773,33.1214442324989,60.56503714647522,86.56716991164157,36.764706923960574,75.64402878588675,56.1104275032237,61.176470292315344,35.106616179285524,5
22.320703792713683,13.481781002817444,33.35563794432954,65.60889181750738,85.07463509061617,43.277311051913536,76.58079905693918,56.527529550322946,83.13724740532211,40.98818925489604,7
25.705073826362067,13.522265887042586,31.549011489932024,49.12010619400688,86.56716991164157,30.252102796007613,74.00468391339221,43.941482472171224,56.0784331973887,29.47992400914149,3
23.448827137263144,12.79352250103043,33.72364991487842,61.72566958380546,86.56716991164157,36.55462210382708,77.04917798877095,71.32412636590371,73.33332411049497,34.13221172709805,5
26.913778342374016,11.538460150131835,31.515559277067204,61.81460303370837,98.5074651789746,37.18487150499048,72.13114957498179,48.37835874324631,73.33332411049497,37.27730662496051,6
22.643028478563636,12.186233767693704,32.88725052066827,44.1404906657004,85.07463509061617,36.13445246356008,76.11241392141297,23.526511970943844,35.29412134605816,34.402685207857886,3
22.320703792713683,11.012146341898589,33.85747758085563,66.7821896340342,86.56716991164157,37.81512596539097,74.47306904891843,54.33167764888333,60.392155925665264,36.774994898195246,3
23.126508979375878,16.113360357290063,30.411504550902634,67.39083853932749,86.56716991164157,38.23529560565797,75.40983931997087,61.895464578694806,59.60784155901518,36.54282923494613,3
26.913778342374016,0.0,31.883571247616086,65.25188511546392,100.0,31.93277123860141,66.74472982197197,67.75358322691588,82.74509651029595,34.53358232788508,6
28.122482858385965,12.024289074139938,31.31481777810139,68.18115183668154,98.5074651789746,32.7731105191354,65.10538494947743,45.34456235215248,65.09804212556575,36.467249526613706,6
24.73811282473758,12.914977153705859,31.31481777810139,60.63181148654426,86.56716991164157,50.8403342212969,72.8337241764239,24.13890581924012,43.52941590758515,50.37344888764554,3
22.40128496417617,14.898782890616612,31.180999519383143,62.6188546126908,86.56716991164157,39.70588428735535,74.70725851483431,45.05546095338844,58.8235271923651,38.33446712736241,3
24.33521349538783,11.336030572352925,33.25527189847611,48.48677358905661,86.56716991164157,33.1932751001653,78.22014392943372,44.06413627315629,61.176470292315344,30.62185337268209,3
22.159547977751394,13.724695464821496,32.218131005300144,61.03726273363859,85.07463509061617,34.663863781862695,74.70725851483431,65.29120417236318,69.80391574886849,33.504112736305345,5
23.368245965800654,15.020242699945234,31.549011489932024,57.77437889256216,86.56716991164157,48.9495809585696,77.04917798877095,62.47224075103305,72.54902232044266,45.896774897209774,4
22.078966806288907,12.105263999243418,33.790563747867026,74.0511095784423,85.07463509061617,40.54621850865225,74.47306904891843,58.85188561487067,80.39215341034571,39.613514538560146,7
24.25463232392534,13.157896772363106,0.0,48.29814005618167,86.56716991164157,36.97479174409407,76.58079905693918,53.53423013310533,61.568621187341506,34.85724232450785,1
23.126508979375878,13.522265887042586,32.65306621609659,53.52874012148157,86.56716991164157,33.6134447404323,76.81498852285506,37.805207877272835,38.823529707684656,31.587589319155704,4
21.112005804664424,12.226718651918848,0.0,62.093761144525985,83.58208357046098,43.90756551231403,71.4285749735397,61.31635065919675,83.13724740532211,44.39980178911517,7
0.0,10.60728718634077,35.39645811055769,61.22337167669043,0.0,40.96638814891925,79.39110366640205,46.91941270036891,56.86274756403878,37.200046890443296,2
24.09346998100036,10.60728718634077,32.82034609493862,50.70929305756893,86.56716991164157,40.12604886838526,71.4285749735397,34.84844924643021,52.941175730788366,40.44860563730908,3
21.99838563482642,10.404857608561862,31.850119034751263,54.98468592299322,83.58208357046098,40.96638814891925,58.78220112910962,49.22211762968263,69.0196013822184,28.659453968946462,2
26.18855432717431,12.145748883468562,0.0,65.71999498476443,98.5074651789746,44.53781491347743,80.56206340337036,49.13505752776165,62.74509902561551,39.87686535239596,6
24.496369310350115,13.64372569637121,31.549011489932024,65.34935761918027,86.56716991164157,40.54621850865225,74.70725851483431,50.37264888572181,59.215678087391254,39.16341781091837,1
23.368245965800654,15.546556508178481,30.344600125172988,57.730071280414684,86.56716991164157,35.504203062396684,76.34660338732884,49.48327395855163,58.03921282571502,33.556783972571665,3
24.33521349538783,12.429148229697756,33.188358065487506,52.11775959837383,86.56716991164157,39.70588428735535,77.7517587939075,37.812197141858334,58.43137629733894,36.8527055023595,3
